Taxable status,State/ Territory1,Postcode,"Number of individuals
no.","Taxable income or loss3
no.","Taxable income or loss3
$","Tax on taxable income
no.","Tax on taxable income
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Total Medicare levy liability
no.","Total Medicare levy liability
$","Net tax
no.","Net tax
$","HELP assessment debt
no.","HELP assessment debt
$","Salary or wages
no.","Salary or wages
$","Tax withheld from salary or wages
no.","Tax withheld from salary or wages
$","Allowances earnings tips directors fees etc
no.","Allowances earnings tips directors fees etc
$","Employer lump sum payments amount A
no.","Employer lump sum payments amount A
$","Employment termination payments taxable component
no.","Employment termination payments taxable component
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Australian government pensions and allowances
no.","Australian government pensions and allowances
$","Australian annuities and superannuation income streams taxable component taxed element
no.","Australian annuities and superannuation income streams taxable component taxed element
$","Australian annuities and superannuation income streams taxable component untaxed element
no.","Australian annuities and superannuation income streams taxable component untaxed element
$","Gross interest
no.","Gross interest
$","Dividends unfranked
no.","Dividends unfranked
$","Dividends franked
no.","Dividends franked
$","Dividends franking credit
no.","Dividends franking credit
$","Total Income or Loss3
no.","Total Income or Loss3
$"
Non Taxable,ACT,2600,"1,023",991,"11,112,598",277,"509,577",9,"15,090",1,"1,012",0,0,0,0,0,0,405,"4,338,465",334,"600,011",88,"224,444",3,"26,172",1,"5,875",51,"389,815",88,"936,884",9,"67,789",130,"2,372,179",702,"1,340,572",119,"56,457",342,"1,226,487",341,"522,350","1,002","12,656,277"
Non Taxable,ACT,2601,971,924,"8,433,619",126,"127,817",5,"4,506",0,0,0,0,0,0,0,0,662,"6,063,901",588,"647,126",69,"114,094",2,"29,251",1,"1,833",114,"753,179",15,"152,592",3,"5,558",29,"523,529",574,"384,963",27,"20,004",70,"159,286",70,"67,916",924,"8,826,706"
Non Taxable,ACT,2602,"4,034","3,904","47,209,582",953,"1,116,312",15,"11,475",0,0,0,0,0,0,2,"4,595","2,282","23,532,163","2,017","2,814,453",350,"632,859",10,"65,561",13,"31,383",444,"3,483,145",421,"4,545,970",43,"246,819",391,"7,252,033","2,404","2,682,890",282,"113,053",862,"1,700,107",861,"724,882","3,912","50,054,366"
Non Taxable,ACT,2603,"1,033",983,"11,225,453",251,"303,684",6,"3,579",0,0,0,0,0,0,2,"14,349",449,"4,565,406",374,"581,365",76,"327,846",1,"1,391",2,"21,466",58,"465,469",72,"945,813",12,"27,063",106,"2,008,172",665,"1,302,103",91,"29,431",301,"909,047",300,"389,065",997,"13,385,732"
Non Taxable,ACT,2604,"1,188","1,135","14,090,650",297,"498,559",12,"11,683",2,"2,165",0,0,0,0,0,0,599,"6,568,227",518,"811,123",95,"122,402",2,"18,177",3,"4,180",110,"889,118",134,"1,546,844",9,"35,395",116,"2,007,117",691,"890,118",89,"33,409",295,"493,955",294,"211,243","1,152","15,200,174"
Non Taxable,ACT,2605,"1,413","1,368","17,130,583",351,"590,306",11,"11,950",0,0,0,0,0,0,0,0,640,"7,074,497",548,"804,286",136,"152,497",4,"23,079",0,0,105,"833,176",174,"1,690,424",18,"107,533",206,"3,725,772",934,"1,444,728",165,"71,093",465,"1,284,885",465,"539,300","1,379","19,331,766"
Non Taxable,ACT,2606,"1,239","1,194","14,021,612",311,"338,789",4,"2,985",0,0,0,0,0,0,0,0,651,"7,109,626",562,"829,616",107,"267,078",2,"3,469",3,"1,736",120,"1,053,003",187,"1,856,618",8,"40,684",123,"2,148,623",690,"975,960",118,"56,451",300,"653,995",302,"278,677","1,201","15,836,331"
Non Taxable,ACT,2607,"1,828","1,773","20,928,808",469,"601,861",9,"4,891",1,861,0,0,0,0,1,"2,885",830,"9,178,899",725,"1,025,333",149,"314,708",4,"19,237",3,"5,239",122,"842,239",242,"2,480,768",26,"157,264",246,"4,495,372","1,121","1,475,685",182,"58,208",582,"1,365,022",582,"577,911","1,785","22,493,377"
Non Taxable,ACT,2608,19,19,"146,489",4,"3,696",0,0,0,0,0,0,0,0,0,0,5,"37,761",5,"3,871",1,"8,400",0,0,0,0,2,"25,344",4,"50,448",0,0,1,"5,032",8,"16,897",4,"1,856",9,"6,830",9,"2,925",19,"149,492"
Non Taxable,ACT,2609,103,97,"1,415,742",35,"34,615",0,0,0,0,0,0,0,0,0,0,55,"543,652",49,"60,738",13,"49,991",1,"1,490",1,"2,699",30,"251,109",19,"252,497",0,0,8,"155,893",42,"45,254",4,304,11,"4,264",11,"1,821",99,"1,663,223"
Non Taxable,ACT,2610,5,5,"79,331",1,182,0,0,0,0,0,0,0,0,0,0,4,"66,304",4,"7,925",2,722,0,0,0,0,1,"4,707",0,0,0,0,0,0,3,"2,564",2,12,2,114,2,48,5,"84,005"
Non Taxable,ACT,2611,"3,447","3,324","42,785,535",964,"1,369,902",8,"9,423",0,0,0,0,0,0,0,0,"1,571","16,378,290","1,358","1,670,236",323,"422,710",13,"26,897",11,"30,689",289,"2,237,454",604,"6,085,111",32,"140,925",502,"9,948,647","2,041","2,286,634",336,"85,064","1,008","1,967,578","1,009","839,326","3,330","45,195,634"
Non Taxable,ACT,2612,"1,880","1,793","19,546,810",397,"345,362",10,"5,439",0,0,0,0,0,0,4,"16,876","1,162","12,206,113","1,027","1,461,113",201,"267,331",4,"21,384",3,"6,049",255,"2,007,894",92,"984,114",17,"101,873",126,"2,269,107","1,125","1,112,479",98,"28,401",302,"683,950",302,"290,296","1,795","20,916,082"
Non Taxable,ACT,2614,"2,617","2,524","32,694,324",730,"1,067,339",10,"6,910",1,"1,474",0,0,0,0,2,"9,891","1,244","12,876,413","1,096","1,388,815",218,"429,403",7,"31,067",12,"14,521",225,"1,719,050",399,"3,976,333",18,"88,778",382,"7,352,686","1,562","2,095,291",226,"57,979",762,"1,479,714",761,"630,187","2,541","34,513,287"
Non Taxable,ACT,2615,"5,173","4,966","63,995,443","1,378","1,719,312",18,"13,321",1,"2,347",0,0,0,0,3,"5,351","2,727","28,915,237","2,324","2,883,200",456,"657,920",20,"85,572",17,"14,133",581,"4,439,238",839,"9,152,331",47,"260,950",622,"11,883,898","2,714","2,533,013",345,"70,393","1,182","1,759,489","1,182","748,833","4,984","66,551,130"
Non Taxable,ACT,2616,30,28,"320,249",8,"13,950",0,0,0,0,0,0,0,0,0,0,10,"83,873",8,"23,666",1,"2,076",0,0,1,46,0,0,8,"56,023",1,746,6,"96,142",13,"10,994",2,12,14,"25,460",14,"10,548",29,"330,016"
Non Taxable,ACT,2617,"4,768","4,593","54,357,594","1,104","1,218,682",16,"15,608",1,"1,960",0,0,0,0,0,0,"2,709","29,198,187","2,365","3,052,990",436,"545,275",13,"107,117",17,"22,847",498,"3,745,965",485,"5,032,669",35,"202,937",449,"8,293,199","2,737","2,474,315",299,"111,756",945,"1,774,425",943,"753,902","4,614","57,021,749"
Non Taxable,ACT,2900,319,301,"4,069,429",82,"144,810",1,635,0,0,0,0,0,0,0,0,180,"1,917,767",157,"245,811",27,"45,773",2,"12,353",1,780,29,"233,677",45,"499,252",4,"41,497",38,"599,287",188,"202,857",18,"5,129",65,"124,950",65,"53,817",303,"4,247,388"
Non Taxable,ACT,2901,12,12,"86,357",1,"1,651",0,0,0,0,0,0,0,0,0,0,4,"24,311",3,828,3,"7,768",0,0,0,0,0,0,1,"16,191",0,0,2,"14,754",6,"6,147",1,546,9,"13,259",9,"5,682",12,"88,043"
Non Taxable,ACT,2902,"1,940","1,870","23,390,732",536,"678,249",9,"7,262",1,421,0,0,0,0,1,"2,559",913,"10,170,662",819,"1,110,575",194,"231,819",3,"9,759",8,"21,856",203,"1,624,166",308,"3,198,537",16,"75,574",246,"4,732,315","1,060","1,159,397",174,"31,852",548,"1,004,744",547,"425,306","1,878","24,479,620"
Non Taxable,ACT,2903,"1,156","1,126","13,949,645",295,"352,907",2,"2,247",0,0,0,0,0,0,0,0,563,"6,133,778",498,"611,688",103,"179,553",3,"7,059",6,"8,411",111,"789,496",166,"1,731,077",15,"71,812",138,"2,377,544",646,"698,052",101,"64,653",337,"545,314",336,"231,572","1,129","14,597,222"
Non Taxable,ACT,2904,"1,573","1,534","19,503,010",419,"624,529",2,582,0,0,0,0,0,0,1,"2,321",730,"7,668,356",615,"728,052",156,"229,359",6,"28,682",6,"3,257",126,"992,895",262,"2,561,771",17,"87,354",229,"4,082,729",953,"1,103,024",141,"36,931",482,"844,449",482,"360,582","1,542","20,293,248"
Non Taxable,ACT,2905,"3,058","2,951","37,423,722",807,"878,740",6,"3,102",0,0,0,0,0,0,1,"9,097","1,722","19,145,175","1,488","1,886,169",369,"628,736",10,"42,728",14,"31,306",337,"2,527,281",431,"4,977,779",37,"125,587",291,"5,607,192","1,549","1,459,152",181,"48,037",626,"816,726",626,"350,078","2,962","38,902,485"
Non Taxable,ACT,2906,"1,862","1,795","23,007,601",452,"473,450",5,"2,969",0,0,0,0,0,0,0,0,"1,134","13,302,445",996,"1,292,200",290,"397,149",11,"42,574",14,"27,565",192,"1,414,817",246,"2,785,422",28,"147,031",160,"2,998,807",936,"795,817",88,"9,864",323,"372,378",321,"160,212","1,796","23,809,330"
Non Taxable,ACT,2911,471,436,"4,361,995",84,"62,511",0,0,0,0,0,0,0,0,0,0,239,"2,684,935",205,"264,486",51,"85,932",0,0,2,"2,826",27,"171,256",31,"324,746",0,0,19,"387,019",259,"339,594",28,"8,689",71,"154,572",71,"64,153",442,"4,787,509"
Non Taxable,ACT,2912,968,923,"9,972,909",184,"139,295",2,"2,189",0,0,0,0,0,0,1,"4,717",639,"6,998,593",556,"740,072",105,"177,367",0,0,3,"7,348",98,"741,158",58,"734,376",8,"46,446",31,"563,981",512,"275,072",34,"9,080",92,"168,605",92,"57,656",927,"10,332,307"
Non Taxable,ACT,2913,"4,190","3,982","46,286,249",942,"1,018,763",12,"14,409",0,0,0,0,0,0,0,0,"2,382","26,573,559","2,044","2,689,947",404,"939,999",9,"77,140",13,"21,275",357,"2,589,622",401,"4,486,330",37,"166,751",295,"5,510,720","2,242","2,138,135",212,"54,309",731,"1,152,858",730,"487,418","4,007","49,212,179"
Non Taxable,ACT,2914,"2,936","2,793","29,971,105",533,"407,164",7,"5,652",0,0,0,0,0,0,1,"2,182","1,880","21,424,685","1,614","2,205,444",334,"491,341",5,"22,767",11,"12,639",285,"2,028,821",212,"2,571,680",20,"94,604",88,"1,685,654","1,474","1,010,218",83,"47,963",300,"353,599",300,"151,142","2,807","31,335,223"
Non Taxable,ACT,ACT other,56,55,"709,685",15,"6,509",0,0,0,0,0,0,0,0,0,0,30,"404,650",26,"48,941",7,"18,272",0,0,0,0,6,"49,746",5,"62,012",0,0,2,"16,046",19,"26,235",1,23,8,"10,668",8,"4,565",55,"746,066"
Non Taxable,NSW,1225,15,15,"45,564",3,"2,325",0,0,0,0,0,0,0,0,0,0,3,"43,975",2,"3,838",1,8,0,0,0,0,0,0,1,"21,802",0,0,0,0,4,"13,855",2,"44,210",7,"9,697",7,"3,956",15,"74,142"
Non Taxable,NSW,1230,15,15,"115,328",4,"1,823",0,0,0,0,0,0,0,0,0,0,5,"51,105",4,"8,786",1,34,0,0,0,0,0,0,2,"43,618",1,"15,169",0,0,7,"2,571",3,"1,468",6,"11,028",6,"4,725",15,"118,655"
Non Taxable,NSW,1235,41,40,"174,696",9,"5,328",0,0,0,0,0,0,0,0,0,0,24,"574,744",20,"118,396",1,170,0,0,0,0,1,"10,824",3,"28,436",0,0,0,0,12,"21,630",2,"1,164",11,"66,498",11,"26,037",39,"516,340"
Non Taxable,NSW,1240,28,27,"17,007",1,428,0,0,0,0,0,0,0,0,0,0,10,"120,185",6,"8,908",0,0,0,0,0,0,1,"5,309",0,0,0,0,0,0,9,"8,255",1,44,5,"1,729",5,739,28,"21,126"
Non Taxable,NSW,1335,21,21,"116,477",6,"2,718",0,0,0,0,0,0,0,0,0,0,5,"155,595",5,"40,958",4,"73,883",0,0,0,0,1,"14,066",2,"43,628",0,0,0,0,12,"55,061",4,"2,090",16,"51,484",16,"21,412",21,"230,195"
Non Taxable,NSW,1355,44,39,"288,036",11,"11,107",0,0,0,0,0,0,0,0,0,0,13,"187,655",11,"27,700",5,"62,645",0,0,0,0,3,"24,386",4,"82,873",0,0,0,0,19,"48,468",1,27,10,"7,546",10,"3,230",41,"316,619"
Non Taxable,NSW,1360,21,18,"288,826",11,"9,793",0,0,0,0,0,0,0,0,0,0,4,"160,332",2,"2,486",3,"40,126",0,0,0,0,1,"13,985",4,"78,491",0,0,0,0,14,"19,653",2,7,7,"24,079",7,"10,318",19,"430,006"
Non Taxable,NSW,1455,13,10,"99,166",4,"1,605",0,0,0,0,0,0,0,0,0,0,5,"69,615",5,"11,826",1,"6,000",0,0,0,0,0,0,0,0,0,0,0,0,6,"2,137",0,0,1,"3,895",1,"1,669",13,"120,923"
Non Taxable,NSW,1460,9,9,"146,352",4,"6,833",0,0,0,0,0,0,0,0,0,0,7,"95,708",6,"14,154",1,87,0,0,0,0,1,"1,832",2,"39,523",0,0,0,0,2,"2,381",0,0,3,"1,225",3,525,9,"147,095"
Non Taxable,NSW,1485,20,18,"231,203",5,"2,470",0,0,0,0,0,0,0,0,0,0,8,"91,280",7,"9,170",2,"33,709",0,0,0,0,2,"17,282",1,"21,665",0,0,0,0,5,"18,170",1,228,8,"17,708",8,"7,587",20,"244,311"
Non Taxable,NSW,1495,19,19,"166,180",5,"6,725",0,0,0,0,0,0,0,0,0,0,3,"60,453",1,34,0,0,0,0,0,0,0,0,2,"38,443",0,0,0,0,7,"29,996",2,38,11,"19,043",11,"8,158",19,"166,854"
Non Taxable,NSW,1499,23,22,"218,359",5,"4,113",0,0,0,0,0,0,0,0,1,"2,453",6,"101,747",4,"10,488",1,73,0,0,0,0,0,0,5,"67,247",0,0,1,"4,341",10,"26,978",2,308,8,"9,208",8,"3,942",23,"239,585"
Non Taxable,NSW,1585,16,16,"164,187",5,"2,624",0,0,0,0,0,0,0,0,0,0,3,"42,361",3,"3,900",0,0,0,0,0,0,1,"5,272",2,"33,961",0,0,0,0,8,"27,171",1,14,6,"10,407",6,"4,459",16,"169,471"
Non Taxable,NSW,1595,15,15,"10,354",3,"1,072",0,0,0,0,0,0,0,0,0,0,4,"23,104",3,"3,617",1,"22,500",0,0,0,0,0,0,1,"21,818",0,0,0,0,12,"1,929",4,840,6,"12,959",6,"5,510",15,"26,594"
Non Taxable,NSW,1655,23,22,"449,731",9,"62,860",1,78,0,0,0,0,0,0,0,0,7,"108,048",3,"5,142",1,88,0,0,0,0,1,"4,827",4,"44,501",0,0,0,0,12,"33,858",7,"25,944",12,"105,218",12,"45,092",22,"568,014"
Non Taxable,NSW,1660,21,17,"143,033",4,"2,691",0,0,0,0,0,0,0,0,0,0,4,"34,805",4,"19,884",0,0,0,0,0,0,0,0,2,"6,704",0,0,0,0,8,"18,838",2,"1,506",9,"15,592",9,"6,681",18,"149,466"
Non Taxable,NSW,1710,25,24,"123,492",5,"3,692",0,0,0,0,0,0,0,0,0,0,4,"34,144",2,"4,423",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"16,472",3,703,13,"44,895",13,"19,240",24,"131,054"
Non Taxable,NSW,1750,12,11,"93,621",3,776,0,0,0,0,0,0,0,0,0,0,4,"60,937",2,861,0,0,0,0,0,0,1,"11,473",1,"3,877",0,0,1,"8,823",5,"1,404",2,277,5,"5,057",5,"2,167",12,"106,453"
Non Taxable,NSW,1755,20,18,"174,214",5,"1,392",0,0,0,0,0,0,0,0,0,0,6,"101,398",5,"12,966",4,"52,961",0,0,0,0,2,"11,087",1,"18,425",0,0,0,0,5,"10,370",0,0,7,"5,095",7,"2,183",18,"184,874"
Non Taxable,NSW,1765,29,27,"287,941",8,"5,273",0,0,0,0,0,0,0,0,0,0,11,"174,009",9,"18,316",2,222,0,0,0,0,1,"1,620",1,"1,006",0,0,0,0,15,"16,319",4,138,16,"22,361",16,"9,578",27,"308,749"
Non Taxable,NSW,1871,15,14,"32,185",3,"1,023",0,0,0,0,0,0,0,0,0,0,4,"52,255",4,"9,695",1,281,0,0,1,"1,453",0,0,0,0,0,0,0,0,2,"10,771",3,188,6,"7,414",6,"3,176",13,"34,750"
Non Taxable,NSW,1885,14,14,"64,197",1,772,0,0,0,0,0,0,0,0,0,0,4,"39,044",3,"5,713",2,"8,443",0,0,1,227,0,0,2,"29,642",0,0,0,0,3,440,1,8,8,"3,013",8,"1,290",14,"64,491"
Non Taxable,NSW,2000,"7,081","6,735","66,027,397","1,343","625,399",7,"9,321",1,"1,342",0,0,0,0,1,"8,589","4,797","55,652,426","4,243","5,186,236",356,"1,487,564",12,"21,687",13,"25,044",116,"889,995",104,"1,337,728",7,"38,745",22,"309,659","3,534","3,677,030",180,"171,734",463,"2,923,703",462,"1,238,715","6,751","74,741,183"
Non Taxable,NSW,2001,94,85,"1,042,296",29,"89,515",1,"4,427",0,0,0,0,0,0,0,0,15,"195,815",9,"10,579",5,"43,377",0,0,0,0,2,"21,697",9,"129,337",2,"13,979",2,"13,399",39,"112,790",8,"2,731",35,"85,308",35,"36,521",86,"1,396,263"
Non Taxable,NSW,2002,33,30,"254,274",6,"3,560",0,0,0,0,0,0,0,0,0,0,15,"148,161",12,"13,987",0,0,0,0,0,0,1,"13,123",1,"15,782",0,0,0,0,13,"10,986",0,0,4,"5,849",4,"2,507",33,"287,995"
Non Taxable,NSW,2006,26,24,"288,475",6,"4,046",0,0,0,0,0,0,0,0,0,0,18,"186,039",16,"21,699",1,8,0,0,0,0,3,"35,784",1,"16,721",0,0,0,0,12,"1,049",2,443,3,"6,018",3,"2,579",24,"290,604"
Non Taxable,NSW,2007,"1,632","1,570","15,191,088",271,"134,903",5,"4,642",0,0,0,0,0,0,1,"3,057","1,132","11,779,757","1,001","1,114,713",107,"119,146",1,850,6,"8,782",83,"639,075",33,"460,747",2,"9,696",5,"30,427",809,"520,593",30,"5,667",89,"132,744",89,"56,308","1,572","15,857,451"
Non Taxable,NSW,2008,"1,699","1,614","15,191,804",284,"192,045",2,"3,982",1,"2,515",0,0,0,0,0,0,"1,168","12,113,677","1,033","1,384,856",113,"110,856",4,"26,284",4,"1,781",126,"933,946",33,"414,510",2,"11,160",6,"169,082",910,"640,746",26,"7,215",98,"151,913",98,"64,049","1,612","16,026,770"
Non Taxable,NSW,2009,"1,985","1,853","19,592,762",397,"675,368",9,"26,554",0,0,0,0,0,0,1,"2,944","1,081","12,589,471",947,"1,490,956",115,"395,006",5,"13,511",5,"13,369",77,"604,849",81,"1,094,033",7,"98,249",13,"238,555","1,058","1,586,349",111,"100,185",320,"791,741",320,"336,552","1,878","22,323,300"
Non Taxable,NSW,2010,"3,264","3,053","34,767,579",718,"776,742",17,"22,644",0,0,0,0,0,0,1,"5,013","1,855","21,120,071","1,634","2,464,900",191,"933,149",8,"24,068",13,"14,600",286,"2,435,258",163,"2,167,488",15,"93,379",28,"467,822","1,603","2,123,322",167,"124,981",421,"1,145,317",420,"487,066","3,078","39,333,994"
Non Taxable,NSW,2011,"2,220","2,074","22,745,591",592,"762,367",17,"24,335",2,"5,140",0,0,0,0,0,0,"1,042","11,713,534",904,"1,529,464",145,"886,749",11,"54,191",13,"41,936",157,"1,309,287",208,"2,678,273",6,"76,754",23,"330,664","1,222","2,505,174",192,"126,693",481,"1,575,137",477,"668,559","2,102","31,367,166"
Non Taxable,NSW,2012,22,21,"248,066",4,"1,941",0,0,0,0,0,0,0,0,0,0,6,"73,018",2,"6,374",3,"10,825",0,0,0,0,2,"33,059",2,"35,001",1,851,1,"2,526",13,"27,407",1,5,5,"10,764",5,"4,337",21,"262,132"
Non Taxable,NSW,2013,15,15,"239,548",8,"2,800",0,0,0,0,0,0,0,0,0,0,9,"159,221",8,"14,363",2,482,0,0,1,276,1,"15,082",2,"32,945",0,0,0,0,8,155,1,24,3,995,3,425,15,"263,356"
Non Taxable,NSW,2014,11,11,"107,709",2,651,0,0,0,0,0,0,0,0,1,"2,404",6,"84,692",5,"15,680",2,632,0,0,1,"13,589",2,"8,875",1,"7,574",0,0,0,0,5,"14,160",0,0,0,0,0,0,11,"110,713"
Non Taxable,NSW,2015,"1,004",950,"10,809,507",211,"216,053",5,"8,265",0,0,0,0,0,0,0,0,587,"6,636,562",508,"767,580",72,"234,224",2,395,3,"7,404",96,"794,913",58,"763,526",6,"50,813",11,"99,564",534,"580,302",43,"13,903",147,"257,373",146,"109,694",956,"11,489,594"
Non Taxable,NSW,2016,"1,460","1,384","15,619,863",316,"242,427",2,"1,109",0,0,0,0,0,0,0,0,843,"9,070,358",756,"1,135,091",108,"404,436",3,"23,787",4,"5,560",182,"1,656,214",84,"1,200,449",4,"71,057",7,"78,523",795,"859,273",65,"25,940",183,"308,733",182,"132,605","1,392","16,896,935"
Non Taxable,NSW,2017,"3,013","2,821","29,353,456",564,"384,968",6,"7,109",0,0,0,0,0,0,0,0,"1,777","19,521,904","1,525","2,234,046",209,"679,941",8,"15,862",14,"31,037",231,"1,998,750",147,"2,213,986",4,"26,008",14,"159,112","1,612","1,607,701",61,"14,351",197,"300,269",197,"128,286","2,831","31,367,299"
Non Taxable,NSW,2018,"2,326","2,233","25,661,532",558,"376,314",4,"2,232",1,586,0,0,0,0,0,0,"1,236","13,640,191","1,051","1,367,229",197,"883,296",10,"52,553",9,"17,571",204,"1,606,824",196,"2,695,992",5,"47,432",15,"213,356","1,270","1,512,324",102,"21,966",339,"393,423",338,"167,849","2,243","26,813,289"
Non Taxable,NSW,2019,"1,207","1,162","13,637,501",294,"222,418",0,0,0,0,0,0,0,0,0,0,674,"7,962,261",567,"830,073",136,"442,338",5,"17,974",4,"4,353",98,"735,747",124,"1,633,778",7,"27,126",8,"114,046",631,"831,458",62,"31,970",204,"329,035",204,"139,311","1,169","14,285,933"
Non Taxable,NSW,2020,"2,576","2,447","26,281,900",555,"375,875",6,"5,704",0,0,0,0,0,0,0,0,"1,570","17,913,714","1,369","1,917,345",214,"937,546",9,"35,913",4,"5,876",148,"982,048",138,"1,834,455",5,"23,682",14,"200,981","1,380","1,278,567",90,"28,708",273,"369,667",273,"158,423","2,457","27,521,857"
Non Taxable,NSW,2021,"1,718","1,626","17,895,618",399,"383,134",6,"6,768",0,0,0,0,0,0,0,0,772,"8,692,546",668,"1,114,837",111,"555,697",2,"15,732",4,"4,376",111,"849,460",131,"1,821,433",8,"70,896",22,"161,885","1,052","2,226,726",171,"166,070",436,"1,405,095",434,"599,900","1,643","21,659,895"
Non Taxable,NSW,2022,"1,789","1,695","19,602,598",446,"424,361",9,"9,793",0,0,0,0,0,0,1,"2,335",885,"9,721,525",749,"1,146,043",136,"510,584",9,"19,158",11,"17,067",99,"750,981",170,"2,232,682",3,"26,578",17,"262,057","1,024","1,947,751",127,"41,001",377,"820,218",376,"346,746","1,708","21,545,517"
Non Taxable,NSW,2023,"1,224","1,146","10,553,672",278,"472,541",8,"16,814",0,0,0,0,0,0,2,"5,862",521,"6,481,707",439,"1,019,156",86,"414,074",2,"1,923",3,"2,130",57,"414,788",60,"889,224",4,"43,689",6,"90,187",789,"2,165,181",142,"107,002",330,"3,522,370",327,"1,501,438","1,170","20,671,338"
Non Taxable,NSW,2024,"1,329","1,251","15,342,621",371,"435,662",11,"11,482",1,"1,016",0,0,0,0,1,"7,617",586,"6,555,724",491,"682,024",98,"345,970",3,"3,030",4,"6,725",68,"456,455",132,"1,772,444",3,"26,687",15,"145,187",808,"1,891,730",152,"59,890",374,"1,000,859",374,"426,630","1,274","17,861,064"
Non Taxable,NSW,2025,985,921,"12,600,309",281,"1,269,709",10,"50,584",0,0,0,0,0,0,0,0,361,"4,255,377",311,"522,542",71,"333,816",5,"8,515",2,"10,091",45,"301,990",98,"1,333,856",3,"47,414",8,"120,496",629,"1,858,968",123,"97,027",299,"1,724,896",298,"735,202",939,"19,013,214"
Non Taxable,NSW,2026,"3,995","3,786","45,069,175","1,009","1,300,008",16,"31,724",2,"7,149",0,0,0,0,3,"15,336","2,124","23,508,068","1,849","2,901,550",343,"1,523,072",13,"49,365",17,"24,788",222,"1,625,899",269,"3,430,523",3,"33,280",32,"430,184","2,205","4,099,876",276,"92,851",794,"1,829,154",791,"772,395","3,817","55,713,854"
Non Taxable,NSW,2027,"1,100","1,002","10,248,292",300,"368,251",7,"6,786",0,0,0,0,0,0,0,0,364,"5,076,615",286,"718,457",76,"446,357",2,"2,716",3,"5,391",45,"378,829",89,"1,232,160",1,"5,236",15,"135,423",739,"2,660,846",147,"107,745",358,"1,542,906",357,"650,756","1,021","14,529,744"
Non Taxable,NSW,2028,591,544,"7,638,495",175,"455,955",12,"20,133",3,"3,318",0,0,0,0,0,0,218,"2,525,533",171,"299,351",41,"233,064",4,"22,928",6,"8,316",29,"250,710",48,"560,658",4,"52,167",8,"129,742",380,"1,247,232",80,"75,739",179,"755,221",179,"320,257",563,"9,508,720"
Non Taxable,NSW,2029,"1,270","1,189","14,144,638",351,"476,676",11,"15,804",1,"2,161",0,0,0,0,0,0,485,"5,958,280",387,"748,371",98,"530,253",5,"6,299",1,"2,641",76,"517,864",141,"1,796,994",4,"24,375",13,"157,873",846,"2,203,356",109,"98,640",328,"1,323,972",328,"564,498","1,211","17,973,376"
Non Taxable,NSW,2030,"1,955","1,835","5,599,587",499,"586,850",22,"18,811",0,0,0,0,0,0,2,"14,642",801,"9,868,935",621,"1,129,156",133,"997,696",3,"7,833",4,"1,392",94,"689,221",119,"1,537,403",6,"49,520",10,"194,968","1,272","3,269,243",190,"162,707",492,"1,912,136",488,"814,904","1,850","30,643,201"
Non Taxable,NSW,2031,"4,011","3,839","46,252,946",972,"1,218,216",25,"32,409",2,"1,936",0,0,0,0,2,"10,023","1,990","22,134,278","1,714","2,696,489",332,"1,193,294",16,"51,581",12,"32,656",242,"1,707,828",335,"4,345,102",17,"159,083",56,"882,856","2,528","4,811,779",348,"196,375","1,054","3,299,522","1,053","1,402,459","3,880","52,920,613"
Non Taxable,NSW,2032,"2,302","2,202","24,189,685",478,"465,697",3,"4,509",1,"1,574",0,0,0,0,1,"2,857","1,291","13,032,624","1,114","1,357,550",172,"621,395",5,"27,843",7,"14,399",179,"1,363,565",171,"2,287,531",5,"32,026",18,"272,536","1,353","2,013,738",127,"49,239",408,"699,913",406,"299,054","2,211","25,714,124"
Non Taxable,NSW,2033,"1,849","1,765","18,304,486",333,"483,501",3,"11,974",0,0,0,0,0,0,1,"2,926","1,049","10,264,752",922,"1,150,178",139,"352,209",4,"19,225",5,"12,703",140,"977,717",95,"1,253,555",1,1,11,"120,541","1,120","1,681,805",105,"379,310",284,"536,344",282,"228,112","1,771","19,500,691"
Non Taxable,NSW,2034,"2,304","2,212","25,556,990",552,"535,377",12,"11,990",0,0,0,0,0,0,1,"2,950","1,194","13,602,887","1,060","1,717,383",213,"850,434",5,"50,655",9,"15,947",183,"1,313,918",196,"2,428,740",6,"44,172",26,"461,551","1,355","2,229,129",219,"91,860",575,"1,465,291",573,"619,535","2,221","28,520,408"
Non Taxable,NSW,2035,"4,810","4,596","53,848,477","1,217","1,088,815",9,"6,317",1,"1,117",0,0,0,0,1,"3,516","2,295","24,836,106","1,935","2,542,459",422,"1,358,024",15,"65,113",13,"24,838",334,"2,570,131",491,"6,109,739",15,"102,828",43,"604,420","2,905","5,275,427",383,"112,684","1,206","2,317,266","1,206","987,099","4,615","56,646,251"
Non Taxable,NSW,2036,"3,798","3,669","43,909,197",977,"931,234",13,"12,233",0,0,0,0,0,0,3,"7,174","1,889","20,852,529","1,600","2,128,704",366,"1,098,955",13,"41,782",16,"22,834",343,"2,561,625",464,"5,985,992",15,"125,108",41,"583,441","2,168","3,304,923",310,"185,726",982,"1,854,085",982,"793,103","3,696","46,295,724"
